cleaned_review,pos_tags
zwina bzaf,ADJ NOUN
jyd,ADJ
ordinaire,ADJ
zwina,ADJ
la taille medium,DET NOUN ADJ
made in espane,VERB ADP PROPN
petit mais efficace,ADJ CCONJ ADJ
mzyanaa,ADJ
la qualite de proudectoin pas bien 100 ,DET NOUN ADP NOUN ADV ADJ NUM NUM
zwin 3jbni,ADJ NUM
fih sda3 o kayt3tel bzaf,VERB NOUN CCONJ VERB NOUN ADV
mmtz,ADJ
mzn kaymexi tout,ADJ VERB PRON
bon article,ADJ NOUN
tooooop,ADJ
parfait bon plan,ADJ NOUN NOUN
kthez chi 2kg w ktze3ze3 mais supportable,VERB DET NUM NOUN CCONJ VERB ADV
je le recommande,PRON PRON VERB
je recommande,PRON VERB
pratique,ADJ
mnsb ljmy` 'shy,ADJ NOUN PUNCT NOUN
top,NOUN
shkr,NOUN
design,NOUN
toop sara7a,ADJ NOUN ADV
drya ktkhsar,NOUN VERB
mzyn mzyn,ADJ ADJ
zwina mais man a7san dik li rejal dyalha en inox machi en plastique,ADJ ADV ADV ADJ ADJ NOUN ADP PROPN ADP NOUN CCONJ ADP NOUN
tres bon rapport qualiteprix,ADV ADJ NOUN NOUN
geniaaaal,ADJ
zwina kathan mazyan,ADJ ADV ADJ
mini mixeur,ADJ NOUN
taille,NOUN
saraha zwin bzf merci jumia,ADV ADJ ADJ NOUN ADV PROPN
livraison tres rapid vendeur tres recommender,NOUN ADV ADJ NOUN ADV ADJ VERB
mezyana ila 7aftti 3liha mais kaytsddaw liha les vis li bgha 7aja mli7a yakhoud inox,ADJ CCONJ VERB PRON ADV CCONJ VERB PRON DET NOUN PRON VERB NOUN PRON VERB DET NOUN ADJ NOUN PUNCT ADJ NUM NOUN
toooop,ADJ
mazyan,ADJ
zwin bzzzzzzf,ADJ ADV
joli merci,ADJ NOUN
ghzala,ADJ
zwin sara7a daghya kaysakhan lma walakin kayrbi lkalkir o hadi 7aja 3adiya,ADJ ADV ADV VERB NOUN ADV NOUN NOUN ADP NOUN CCONJ VERB ADJ ADJ CCONJ DET NOUN ADJ NOUN PUNCT
fih sda3,NOUN ADJ
satisfaction totale,NOUN ADJ
parfait,ADJ
rapport qualiteprix bieen,NOUN NOUN ADV
kadi lrarad,NOUN NOUN
sans huile,ADP NOUN
pas mal,ADV ADJ
mediocre,ADJ
khdama mazyan,NOUN ADJ
je kif,PRON VERB
2 en 1 micro ondesfour,NUM ADP NUM NOUN NOUN
jaime,VERB
mabihch,VERB
bien et practice,ADV CCONJ ADJ
sara7a nadia,ADV NOUN
zwin bzaf,ADJ ADV
satisfaite,ADJ
mtwsT,NOUN
je like,PRON VERB
khdm jyd,NOUN ADJ
mzn mzn,ADJ ADJ
n9n decu,ADJ VERB
hiya zwina hi dak tarab dyal blastic li fiha mas7i7ch tharas 3la nhar lawal walakin kat7an mazyan 3ajbatni,NOUN ADJ NOUN ADJ NOUN ADP NOUN ADP NOUN NOUN ADP NOUN NUM CCONJ VERB ADJ NOUN VERB
khadam mzn,NOUN ADJ
mauvaise,ADJ
khdama mzn,NOUN ADJ
mezyana mais katsadi,ADJ CCONJ VERB
jwj mrt khdmt byh w tHrqt,NOUN NOUN VERB NOUN CCONJ NOUN
super,ADJ
j adoreeeeee,PRON VERB
zewine,NOUN
mezyan lbnitat li ch3erhoum ytle3 f sma,ADJ ADJ NOUN PRON VERB ADP NOUN
il est bien,PRON VERB ADV
sans plus,ADP ADV
qualite nadya o katchd la charge,NOUN ADJ ADJ CCONJ NOUN DET NOUN
rojola sah o 3amal,NOUN NOUN ADV NUM VERB
belle texture,ADJ NOUN
toop,NOUN
zwin kayb9a chad machi watter proof chita 3endo r9i9a kat3ti chkel dial eyliner m9ad,ADJ VERB NOUN NOUN CCONJ NOUN NOUN NOUN NOUN VERB NOUN NOUN ADJ NOUN NOUN
magnifique,ADJ
top du top,NOUN ADP NOUN
il est super mais plus disponible,PRON VERB ADJ CCONJ ADV ADV
zwyn bzf kyrTb sh`r,ADJ ADJ NOUN VERB NOUN
service rapide,NOUN ADJ
bien precis,ADV ADJ
zwyn bzf,ADJ ADJ NOUN
j aime,PRON VERB
ghzal taykhli ch3rbrtiitb o bien hydrate,ADJ VERB ADJ CCONJ ADV VERB
makai idir walo,ADJ VERB ADV
fhyaty kamla hada the best conditioner walayny mra fsimana sinn kaydyr build ups hkka,NOUN ADJ ADJ DET ADJ NOUN NOUN NOUN NOUN NOUN VERB NOUN NOUN ADJ NOUN
if youre looking for a good hydrating soin this is the one,ADP PRON VERB ADP DET ADJ VERB NOUN PRON VERB DET NUM
taman rkhiis o lorigine albnat fen,ADJ NOUN CCONJ NOUN NOUN NOUN
jaime pas le fond de teint kikhrj lma u kidiir lhbub mhm produit nul antiage zuen,VERB ADV DET NOUN ADP NOUN NOUN CCONJ NOUN VERB DET NOUN ADJ NOUN NOUN NOUN
3adi machi chi haja,ADJ ADV VERB NOUN
mntj mtwsT,NOUN ADJ
mais had produit mkinasbsh nas li endhom peau sensible o ana endi peau sensible,CCONJ VERB NOUN VERB PRON PRON ADP NOUN ADJ CCONJ PRON VERB NOUN ADJ
saraha kiratab o ki3ti ichra9a lghad lih katkon la peau mnwra o kifatah loun dial lbachra ana had la gamme garnier kansta3mlha ktar mn 3ans gamme 9tisadiya o 3andha maf3ol kiban mn sti3mal lowl,ADV NOUN CCONJ VERB NOUN NOUN ADP NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN ADP NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN ADP NOUN NOUN NOUN NOUN NOUN VERB ADV ADP NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN VERB ADV ADP NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN 
hydrate,VERB
sabsorbe rapidement,VERB ADV
zwin kaykhli la peau retba machi bhal dyal nhar,ADJ VERB DET NOUN VERB NOUN ADV ADP ADJ NOUN
fDl mntj,NOUN ADJ
produit zwin bzaf,NOUN ADJ ADJ NOUN
jyd mmtz,ADJ ADJ
cv mais drya kysali,NOUN CCONJ NOUN ADJ VERB
rj3atni l ayam tofola,VERB NOUN NOUN NOUN
top et cool,NOUN CONJ ADJ
7sen men flosso,ADJ NOUN ADP NOUN
bien compatible,ADV ADJ
zwin walakin ghali 3la tamano fblays akhrin,ADJ CCONJ ADJ ADJ ADP NOUN NOUN
merci bouceau,NOUN NOUN
bon jeux,ADJ NOUN
bien,ADV
magnifique jeu,ADJ NOUN
contrefacon,NOUN
cest pas loriginal mais il est semblable,PRON ADV DET ADJ CCONJ PRON VERB ADJ
bon produit,ADJ NOUN
impecable,ADJ
merci bcp,NOUN NOUN
mais basma na9sa bzzf o rezo 9lil,CCONJ NOUN NOUN ADJ CCONJ NOUN NUM
telephone sans probleme,NOUN ADP NOUN NOUN
mzn,ADJ
bonne qualite,ADJ NOUN
sewet mjehed we zwine saraha mandemtch 3lih,VERB ADJ CCONJ ADJ ADJ ADV ADV VERB NOUN
Taman r5is bzaf bnusba l qualite rah 3ndi kter mne 3 mois kayb9a xinrat 3 hour bla maytcharja sot zwin ou wsli drya,ADJ NOUN ADV ADJ ADJ NOUN ADJ NOUN ADJ NOUN VERB NOUN NOUN ADV NOUN ADJ CCONJ VERB NOUN ADJ NOUN NOUN NOUN
